feature,importance
Feature_4540,0.0006770311566829697
Feature_1600,0.000676860301857297
Feature_844,0.0006767331620496791
Feature_4718,0.0006766200248598547
Feature_25,0.0006755881544079199
Feature_1609,0.0006747866801877445
Feature_1463,0.0006691861006762568
Feature_5709,0.0006686110798446561
Feature_3549,0.0006680820467482682
Feature_833,0.0006672388461199722
Feature_74,0.0006636952725000194
Feature_6484,0.0006610931670066715
Feature_4837,0.000661021198603821
Feature_3498,0.0006564348893723642
Feature_2166,0.0006554020089213034
Feature_2929,0.0006552045455541001
Feature_4469,0.0006548400836053308
Feature_1607,0.0006544358683934455
Feature_5637,0.0006540540909446784
Feature_5345,0.000653821909868912
Feature_5046,0.000653732696266114
Feature_6374,0.000652433897107371
Feature_1096,0.0006517975127574645
Feature_3120,0.0006515084183286805
Feature_4748,0.000651306520034519
Feature_4476,0.0006484507797418333
Feature_2873,0.0006484427987450467
Feature_5575,0.0006482126096080798
Feature_6224,0.0006479091339908432
Feature_689,0.0006461857337223299
Feature_4090,0.0006457419884521055
Feature_6237,0.000642417975978807
Feature_880,0.0006417375750805468
Feature_3762,0.0006390823292143436
Feature_5436,0.0006388758761662113
Feature_3539,0.0006381217890520613
Feature_6092,0.0006378716305168281
Feature_79,0.0006356566096486259
Feature_6534,0.0006340453501025874
Feature_2916,0.0006334473876167981
Feature_3460,0.0006333135548534485
Feature_5726,0.0006324074189690676
Feature_2269,0.0006304187029066834
Feature_3150,0.0006302960431226998
Feature_3363,0.0006256148021331233
Feature_1364,0.0006246962718439313
Feature_510,0.0006243215532234651
Feature_6385,0.0006200113845677692
Feature_4415,0.0006199842571026836
Feature_5268,0.0006192861695484582
Feature_3672,0.000618491476950619
Feature_6606,0.0006178994975251079
Feature_773,0.0006159620482045259
Feature_2349,0.000615487028651889
Feature_496,0.0006138089939069507
Feature_3702,0.0006133840083048471
Feature_2307,0.0006130368399794118
Feature_6960,0.0006125087122947913
Feature_3878,0.0006110750989566691
Feature_1003,0.0006080854929665397
Feature_5281,0.0006068168303057772
Feature_915,0.0006060183907737283
Feature_2733,0.0006056330514541831
Feature_4260,0.0006032137397394853
Feature_3173,0.0006012495829507544
Feature_6383,0.000600989602770227
Feature_5425,0.0006008701412056357
Feature_5414,0.0006004166599336273
Feature_94,0.0005981411211094333
Feature_521,0.0005980709693377899
Feature_2944,0.0005980130178465733
Feature_4825,0.0005979287884429474
Feature_3991,0.0005964325483557039
Feature_5819,0.0005933522949057384
Feature_4371,0.0005933180574492597
Feature_5411,0.0005907654878542769
Feature_174,0.0005899597937242029
Feature_1358,0.0005888068586685517
Feature_2918,0.0005884483882846759
Feature_3466,0.0005882793571594186
Feature_7044,0.0005882394593345105
Feature_5831,0.0005881008957084226
Feature_180,0.000588030641634905
Feature_31,0.0005879967268389001
Feature_5839,0.0005876366749505776
Feature_6924,0.0005872217191895211
Feature_4479,0.0005857494321917024
Feature_3073,0.0005856857962911723
Feature_2719,0.0005854548645956958
Feature_4410,0.0005854294287993073
Feature_776,0.0005854231765496455
Feature_4041,0.0005849089664541748
Feature_24,0.0005842309394959031
Feature_6772,0.0005840235447712399
Feature_6771,0.0005836632689345777
Feature_6096,0.000583559913058376
Feature_101,0.000582839265750858
Feature_311,0.000582293621153797
Feature_683,0.0005818680024338321
Feature_3648,0.000577812036674381
Feature_4162,0.0005761962137724803
Feature_1315,0.00057487722975231
Feature_3202,0.0005716541960250265
Feature_5374,0.0005715802194405153
Feature_1006,0.0005715154318736382
Feature_1162,0.0005713901760847994
Feature_745,0.0005713125509961865
Feature_6744,0.0005706357052590157
Feature_2026,0.0005705149358116949
Feature_5584,0.0005703990942059951
Feature_392,0.0005685646161283223
Feature_325,0.0005674258565093128
Feature_7076,0.0005673700232365995
Feature_4040,0.0005663757905202982
Feature_6709,0.0005663566661084815
Feature_966,0.0005652084432740244
Feature_4996,0.000559612196934024
Feature_6326,0.0005582288864990856
Feature_3905,0.0005568068639306531
Feature_5877,0.0005567640488419493
Feature_3474,0.0005562048293169725
Feature_5907,0.0005561204563802842
Feature_3294,0.0005545934461367255
Feature_3653,0.000554310278821005
Feature_3483,0.0005533132365638624
Feature_2982,0.0005524689859089634
Feature_4060,0.0005518628151403369
Feature_4507,0.0005505521605171165
Feature_3299,0.0005501145016135609
Feature_4546,0.0005497326378940038
Feature_4329,0.0005494988257332999
Feature_6399,0.0005487724490404659
Feature_6777,0.0005483511785601801
Feature_1468,0.0005480897970338106
Feature_4859,0.0005478992064726574
Feature_6104,0.0005450945734747292
Feature_1120,0.0005449566947383567
Feature_6937,0.000544793958796915
Feature_167,0.0005441247313548688
Feature_6182,0.0005437676547125959
Feature_1537,0.0005433108695498763
Feature_2940,0.000542382173456169
Feature_2766,0.0005399949970351535
Feature_5995,0.0005397762436261438
Feature_5294,0.000539476990518913
Feature_1011,0.0005392854828901952
Feature_3945,0.0005389598700588222
Feature_2925,0.000538116818267359
Feature_1829,0.0005366318531230817
Feature_4566,0.0005364989579528355
Feature_3311,0.0005343250123127108
Feature_2016,0.0005323092292831236
Feature_821,0.0005317473968931287
Feature_116,0.0005308143451343117
Feature_4457,0.0005304936212618212
Feature_6296,0.0005289493672361444
Feature_6206,0.0005288328939484092
Feature_5475,0.0005279500065560806
Feature_1473,0.0005273558874279449
Feature_423,0.0005265261512577176
Feature_6503,0.0005264969490468488
Feature_5488,0.0005258905679173331
Feature_2870,0.000523754292018728
Feature_5467,0.0005211350465548425
Feature_1694,0.0005200154017413266
Feature_5072,0.0005187974579956473
Feature_5029,0.0005186579581561792
Feature_4511,0.0005177822381715543
Feature_1100,0.0005170459101922548
Feature_6135,0.00051606511083969
Feature_2320,0.0005152179755702835
Feature_1187,0.0005134082283854218
Feature_2010,0.0005122384643606623
Feature_1340,0.0005112418067185294
Feature_6524,0.0005104131370880535
Feature_5493,0.0005089070091073789
Feature_4866,0.0005084798431251227
Feature_4789,0.0
Feature_4790,0.0
Feature_4737,0.0
Feature_4738,0.0
Feature_4788,0.0
Feature_4787,0.0
Feature_4736,0.0
Feature_4791,0.0
Feature_4732,0.0
Feature_4809,0.0
Feature_4792,0.0
