feature,importance
Feature_3372,0.0002636269259880536
Feature_4162,0.00026212181395744103
Feature_4820,0.0002599965760137453
Feature_2878,0.00025995343065617836
Feature_3672,0.00025869371369457224
Feature_3762,0.0002573384132822865
Feature_1607,0.00025469888228420385
Feature_3816,0.000254673956738494
Feature_3588,0.00025346727065201144
Feature_4329,0.00025055159929333296
Feature_6180,0.00024987238083474026
Feature_3597,0.0002497573406721416
Feature_1596,0.00024924290075711993
Feature_311,0.0002479133839758785
Feature_6850,0.00024750612904645233
Feature_6092,0.0002472105075611751
Feature_3995,0.0002472089040450687
Feature_24,0.00024714885935103113
Feature_392,0.000247034652236663
Feature_5436,0.0002468815613014589
Feature_2564,0.0002466375082833667
Feature_5519,0.0002449581994976113
Feature_5035,0.0002443274218655964
Feature_6385,0.0002435839613194232
Feature_2399,0.0002432575706524516
Feature_6274,0.00024266720803580322
Feature_5046,0.00024254659020696775
Feature_4996,0.00024216613971712747
Feature_4410,0.00024204419915400382
Feature_4479,0.0002420306710054358
Feature_6771,0.0002414387739777829
Feature_4469,0.00024079509670710538
Feature_4683,0.00024074415833188516
Feature_521,0.00024004124871420063
Feature_5345,0.00024002929730649645
Feature_482,0.0002385880020703694
Feature_3475,0.0002385024753014724
Feature_5585,0.00023726522492291028
Feature_4859,0.0002368273470623373
Feature_6714,0.0002365751769604782
Feature_5350,0.00023651726879265193
Feature_6590,0.0002345542530795443
Feature_2971,0.00023432049062628807
Feature_4968,0.00023360502038008595
Feature_438,0.00023323690603543616
Feature_5907,0.00023232224486544406
Feature_4292,0.00023155174314727064
Feature_4452,0.00023142595706341601
Feature_2505,0.00023114160644990188
Feature_3340,0.00023080689501311875
Feature_4713,0.00022983743141812268
Feature_388,0.0002296632245455325
Feature_5029,0.00022903291772525535
Feature_2766,0.0002289191045247083
Feature_915,0.00022884628610180522
Feature_1100,0.0002285383328339693
Feature_2051,0.00022841339851344347
Feature_5637,0.0002281925579795048
Feature_1829,0.00022745297596748855
Feature_2718,0.00022688535760147024
Feature_5236,0.00022657839741342109
Feature_1994,0.00022654348972786785
Feature_5167,0.00022598557760732417
Feature_6607,0.00022567778864657475
Feature_6709,0.00022567716025272426
Feature_1930,0.00022546407447788874
Feature_101,0.00022423895870033738
Feature_2327,0.00022412669362262226
Feature_4866,0.00022367267700772926
Feature_3878,0.0002227595435720274
Feature_3363,0.00022237038440391555
Feature_5072,0.00022203316445534366
Feature_2349,0.00022175249579837943
Feature_1921,0.00022159134853313864
Feature_821,0.00022122376669228943
Feature_6844,0.0002211860805986375
Feature_5425,0.00022101167698665596
Feature_6484,0.000220812598927185
Feature_4837,0.0002206355638431805
Feature_6190,0.00022035342590428404
Feature_1537,0.00022007160951186433
Feature_4745,0.00021988698697211745
Feature_3891,0.00021987890042333364
Feature_4090,0.0002195746413050515
Feature_996,0.00021953181746824397
Feature_242,0.00021940297980831169
Feature_4260,0.00021906837954386237
Feature_2059,0.00021831846050584386
Feature_6084,0.00021823229353913918
Feature_2655,0.00021813758601430932
Feature_6045,0.00021703447666096925
Feature_4517,0.00021672791332363783
Feature_2940,0.0002167273298987658
Feature_916,0.00021668734321917988
Feature_5493,0.0002162545801923379
Feature_5709,0.0002156606797511458
Feature_2944,0.00021520446480388801
Feature_5291,0.00021519620806844997
Feature_2121,0.00021518990798171704
Feature_6744,0.00021505818331918135
Feature_334,0.00021411412939790442
Feature_683,0.00021398010427894847
Feature_3549,0.00021374540737134997
Feature_1463,0.00021303950898598286
Feature_3184,0.00021293442381580224
Feature_4296,0.00021289085589114195
Feature_5445,0.0002128662063748144
Feature_6630,0.00021265388006370904
Feature_6530,0.00021231523612478214
Feature_2119,0.00021204210685783976
Feature_1600,0.00021200274365833772
Feature_579,0.00021146049126725407
Feature_1516,0.00021132907753880929
Feature_1996,0.00021126430080916484
Feature_3772,0.00021004746155831716
Feature_4482,0.00020997721166754382
Feature_833,0.0002098777335523122
Feature_1677,0.00020980265122475469
Feature_3223,0.0002096606930713759
Feature_1373,0.00020906349191623136
Feature_3648,0.0002085766286997241
Feature_6312,0.00020816421828612962
